,species,scenario,julian,hour,Tpref_mean,Rabs_sun,Rabs_shade,Te_sun,Te_shade,Tb_sun,Tb_shade,activity_status_5C,activity_status_25C,activity_status_skewed_5C,activity_status_skewed_10C,ro,rcm,growth_k,growth_linf
64,Takydromus septentrionalis,atrata_columbretes,1.0,0.0,35,265.8835900831544,261.2573424839743,20.58872867134128,19.69605967364609,15.608253299709592,15.000784978206395,[0.0],[0.0],[0.0],[0.0],6.2,,,
65,Takydromus septentrionalis,atrata_columbretes,1.0,60.0,35,536.5462814102873,270.85374997760306,34.95014148626668,36.00736816732998,28.770561368800124,29.29593117837889,[0.0],[0.0],[0.0],[1.0],6.2,,,
66,Takydromus tachydromoides,erythrurus_madrid,1.0,0.0,35,249.58122066984268,245.44484748386407,15.11150344338727,14.289026692858574,12.633150062734373,12.012264306719382,[0.0],[0.0],[0.0],[0.0],10.2,,,
67,Takydromus tachydromoides,erythrurus_madrid,1.0,60.0,35,437.2222601846082,252.41975707973086,24.34580769168087,25.13584527810648,21.47500763769747,21.91922457982843,[0.0],[0.0],[0.0],[0.0],10.2,,,
68,Lacerta vivipara (oviparous),septentrionalis_xinshau,1.0,0.0,35,108.11560061279795,100.26464472020223,-26.8058820687569,-30.01701366649523,-21.001104866646962,-23.626184379703876,[0.0],[0.0],[0.0],[0.0],6.2,,,
69,Lacerta vivipara (oviparous),septentrionalis_xinshau,1.0,60.0,35,236.22579198183706,129.03488205456446,-20.619807752785604,-11.983021779894111,-20.711943600230942,-14.796451554417377,[0.0],[0.0],[0.0],[0.0],6.2,,,
70,Lacerta vivipara (livebearing),tachydromoides_honsu,1.0,0.0,35,215.9272485463698,202.63865962916208,5.64413612506861,2.7458438231110502,5.477449277997015,3.329164912100678,[0.0],[0.0],[0.0],[0.0],4.4,,,
71,Lacerta vivipara (livebearing),tachydromoides_honsu,1.0,60.0,35,288.0334410599769,214.02743694360646,9.34586215492773,9.035338112520611,8.344810481947802,7.558718524508647,[0.0],[0.0],[0.0],[0.0],4.4,,,
72,Lacerta agilis,vivipara_antwerpen,1.0,0.0,35,246.99683161873625,240.7352777277493,15.44754636748414,14.238570708647545,11.90062828926047,11.102097099357351,[0.0],[0.0],[0.0],[0.0],5.8,,,
73,Lacerta agilis,vivipara_antwerpen,1.0,60.0,35,319.7687004794799,246.61268753503822,19.373477230418942,19.428982562631724,16.836462119605667,16.60202400737642,[0.0],[0.0],[0.0],[0.0],5.8,,,
74,Lacerta schreiberi,agilis_limberg,1.0,0.0,35,245.89946168443478,239.20797480161525,17.49333854686239,16.136662564995948,11.026671966082297,10.372223911520848,[0.0],[0.0],[0.0],[0.0],13.7,,,
75,Lacerta schreiberi,agilis_limberg,1.0,60.0,35,391.31022314291397,244.54996842853393,26.86197890242078,26.76730562313624,18.665478841407648,18.28106100597675,[0.0],[0.0],[0.0],[0.0],13.7,,,
76,Lacerta viridis,viridis_loire,1.0,0.0,35,255.38647837471282,251.15328751022693,19.637346197305934,18.802170082528754,12.587112145692522,12.154207522217503,[0.0],[0.0],[0.0],[0.0],8.9,,,
77,Lacerta viridis,viridis_loire,1.0,60.0,35,345.82710309456206,255.43241332921716,25.12072933414146,25.37918669282878,19.083778817240123,19.00923429683484,[0.0],[0.0],[0.0],[0.0],8.9,,,
78,Callisaurus draconoides,draconoides_maricopa,1.0,0.0,35,257.8998958529021,255.0862096712892,19.44521685443714,18.88956872561749,13.836943908102914,13.497022991961504,[0.0],[0.0],[0.0],[0.0],,0.20199999999999999,,
79,Callisaurus draconoides,draconoides_maricopa,1.0,60.0,35,452.0859120403708,265.1834325036288,30.258199021400266,32.02483231620515,23.882740506323053,24.831516159371066,[0.0],[0.0],[0.0],[0.0],,0.20199999999999999,,
80,Cophosaurus texanus ,ornatus_maricopa,1.0,0.0,35,257.8998958529021,255.0862096712892,18.26777695965222,17.722197283881226,14.297959202720897,13.915621032386943,[0.0],[0.0],[0.0],[0.0],,0.196,,
81,Cophosaurus texanus ,ornatus_maricopa,1.0,60.0,35,462.39622694760635,265.1834325036288,28.734352560459406,30.47342438426547,24.414876067006354,25.5192062087598,[0.0],[0.0],[0.0],[0.0],,0.196,,
82,Gambelia wislizeni,cornutum_cochise,1.0,0.0,35,244.62843705502095,240.56870915552773,17.77448672471054,16.926917123202934,11.094096762920955,10.689761835326067,[0.0],[0.0],[0.0],[0.0],,0.217,,
83,Gambelia wislizeni,cornutum_cochise,1.0,60.0,35,425.06044749291414,251.8254992905024,29.572227704138832,30.99038848908304,19.90912944332456,20.37422007164949,[0.0],[0.0],[0.0],[0.0],,0.217,,
84,Holbrookia maculata,maculata_cochise,1.0,0.0,35,244.62843705502095,240.56870915552773,14.1251773175551,13.325004472821394,11.850858266360015,11.250116981331544,[0.0],[0.0],[0.0],[0.0],,0.348,,
85,Holbrookia maculata,maculata_cochise,1.0,60.0,35,451.18677540367895,251.8254992905024,24.552025900202715,25.902573874374536,21.386442754054013,22.25065997736426,[0.0],[0.0],[0.0],[0.0],,0.348,,
86,Phrynosoma Cornutum,modestum_cochise,1.0,0.0,35,244.62843705502095,240.56870915552773,15.54301448502122,14.724023934403426,11.733256583371665,11.210211345740529,[0.0],[0.0],[0.0],[0.0],,0.366,,
87,Phrynosoma Cornutum,modestum_cochise,1.0,60.0,35,451.1867754036789,251.8254992905024,27.167377097086092,28.54313325155538,21.590199652658377,22.279816788965896,[0.0],[0.0],[0.0],[0.0],,0.366,,
88,Phrynosoma modestum,ornatus_cochise,1.0,0.0,35,244.62843705502095,240.56870915552773,15.654141878128893,14.833698068959823,11.71219440875944,11.195308261418864,[0.0],[0.0],[0.0],[0.0],,0.31,,
89,Phrynosoma modestum,ornatus_cochise,1.0,60.0,35,451.1867754036789,251.8254992905024,27.372364868784683,28.75002628156075,21.57822677479938,22.25492070979736,[0.0],[0.0],[0.0],[0.0],,0.31,,
90,Sceloporus undulatus,texanus_cochise,1.0,0.0,35,244.62843705502095,240.56870915552773,15.010785899937385,14.198799131461854,11.812419075003355,11.259855649363852,[0.0],[0.0],[0.0],[0.0],,0.217,,
91,Sceloporus undulatus,texanus_cochise,1.0,60.0,35,437.5832451526415,251.8254992905024,25.448227741558323,26.816896162726465,21.091694847319708,21.84654490664727,[0.0],[0.0],[0.0],[0.0],,0.217,,
92,Sceloporus undulatus,undulatus_cochise,1.0,0.0,35,244.62843705502095,240.56870915552773,15.010785899937385,14.198799131461854,11.812419075003355,11.259855649363852,[0.0],[0.0],[0.0],[0.0],,0.28800000000000003,,
93,Sceloporus undulatus,undulatus_cochise,1.0,60.0,35,451.18677540367895,251.8254992905024,26.18562081163339,27.55210993545821,21.59349667052982,22.346863700758554,[0.0],[0.0],[0.0],[0.0],,0.28800000000000003,,
94,Urosaurus ornatus,wislizeni_nevada,1.0,0.0,35,228.81728746874867,226.38496727029147,9.00188150902446,8.508950619492067,8.139632678250624,7.7529091020015315,[0.0],[0.0],[0.0],[0.0],,0.406,,
95,Urosaurus ornatus,wislizeni_nevada,1.0,60.0,35,433.0987733193708,232.89355564041486,18.718074828627266,19.952520296843403,16.438834587505177,17.3239815795109,[0.0],[0.0],[0.0],[0.0],,0.406,,
96,Urosaurus ornatus,undulatus_yavapai,1.0,0.0,35,241.9336782373524,240.35541771498882,12.923286713191262,12.610908188178461,11.216128545482182,10.97105536605339,[0.0],[0.0],[0.0],[0.0],,0.27699999999999997,,
97,Urosaurus ornatus,undulatus_yavapai,1.0,60.0,35,438.5247966463946,249.58758351297766,22.38384319363435,23.986317361864412,19.977637793481858,21.182037821654113,[0.0],[0.0],[0.0],[0.0],,0.27699999999999997,,
98,Urosaurus ornatus,ornatus_yuma,1.0,0.0,35,268.6514499223487,267.5468262448319,20.057949968380292,19.855183651798864,16.81355112128602,16.654473009614804,[0.0],[0.0],[0.0],[0.0],,0.304,,
99,Urosaurus ornatus,ornatus_yuma,1.0,60.0,35,463.85700935305056,277.6022843494349,29.290771203440016,31.060686123852577,26.602418636557616,27.956711059718735,[0.0],[0.0],[0.0],[1.0],,0.304,,
100,Ctenosaura pectinata,pectinata_morelos,1.0,0.0,35,308.2742753433238,307.0847582710966,40.29123400159084,40.05038810514459,12.250053975951612,12.200575803863806,[0.0],[0.0],[0.0],[0.0],,0.4,,
101,Ctenosaura pectinata,pectinata_morelos,1.0,60.0,35,578.817057294161,318.6367452627937,62.76937110017512,65.0849357493178,22.628488914280112,23.064873268523485,[0.0],[0.0],[0.0],[0.0],,0.4,,
102,Lacerta monticola,monticola_mandeo,1.0,0.0,35,266.42001420705355,263.13812542723923,20.51534025067188,19.911291524839903,15.348626025339435,14.945729648996853,[0.0],[0.0],[0.0],[0.0],,0.539,,
103,Lacerta monticola,monticola_mandeo,1.0,60.0,35,393.86335034983745,267.207020790088,27.255991117502848,27.62113895757373,23.290757251281736,23.400141123916846,[0.0],[0.0],[0.0],[0.0],,0.539,,
104,Podarcis hispanicus,hispanicus_highland_central_mexico,1.0,0.0,35,250.2498364492963,246.60840045903615,16.086439587113084,15.358363978888804,12.679564527929497,12.17522735361528,[0.0],[0.0],[0.0],[0.0],,,,
105,Podarcis hispanicus,hispanicus_highland_central_mexico,1.0,60.0,35,403.3273589965662,253.16090810351673,24.04658680510524,24.888728292384254,20.55348837715642,20.98185549315422,[0.0],[0.0],[0.0],[0.0],,,,
